ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
617050239,2020-01-01T08:31:26.47,-17.5266,-172.4716,13.1,,13
617094506,2020-01-02T04:29:05.89,34.0715,60.2751,9.0,,15
617094574,2020-01-02T11:25:05.26,-5.7593,125.0443,21.9,,21
617124993,2020-01-05T18:58:52.49,6.1330,126.2353,83.7,,16
617125016,2020-01-05T07:45:47.79,-6.4393,129.2437,216.8,,21
617125225,2020-01-06T07:25:35.63,5.1625,125.4497,52.1,,14
617125961,2020-01-06T22:31:52.94,-11.4018,118.4382,11.4,,10
617125972,2020-01-07T01:38:17.63,-5.4594,147.0366,201.8,,17
617125978,2020-01-07T06:05:19.68,2.3273,96.4130,20.4,6.5,44
617152277,2020-01-09T08:38:08.89,62.2654,171.0078,9.0,6.4,21
617168892,2020-01-10T00:13:11.20,2.3004,127.5324,78.6,5.5,20
617172125,2020-01-10T20:06:42.31,-16.6838,167.6534,20.8,5.6,14
617174603,2020-01-12T16:48:02.68,-7.3434,155.9158,21.9,,18
617178924,2020-01-15T07:55:30.67,-10.2336,124.0585,16.1,5.5,31
617181497,2020-01-16T08:32:38.10,41.2618,83.6047,8.1,5.6,10
617194460,2020-01-18T01:31:13.26,-6.7078,132.0625,35.0,5.6,16
617194874,2020-01-18T16:38:13.56,-2.8296,139.4218,45.6,5.8,32
617194918,2020-01-19T13:27:57.85,39.7669,77.1324,10.4,6.1,34
617194930,2020-01-19T16:58:20.27,-0.0922,123.7908,134.4,6.0,48
617196275,2020-01-22T00:57:21.96,-16.5107,178.0291,21.0,,12
617198377,2020-01-22T19:23:15.11,28.0644,56.7311,19.6,5.8,11
617199736,2020-01-24T07:09:15.42,39.1897,71.5863,9.9,5.6,20
617204416,2020-01-24T17:39:25.91,-6.1682,147.5692,77.9,,18
617204417,2020-01-24T17:55:15.54,38.2987,39.1475,12.3,6.7,28
617207715,2020-01-26T03:57:20.37,51.0592,-179.8105,32.8,5.5,14
617207730,2020-01-26T07:24:07.00,51.1288,-179.8438,37.9,5.5,10
617208393,2020-01-26T22:33:38.32,50.9937,-179.8121,31.9,,13
617208409,2020-01-26T09:12:07.24,51.1453,-179.7355,26.8,5.7,18
617208428,2020-01-27T19:13:25.36,-6.1745,152.4687,25.0,,10
617208455,2020-01-27T13:28:28.51,29.5855,52.1103,15.2,,11
617228363,2020-01-29T09:10:46.03,38.7841,70.6504,9.8,,12
617232036,2020-01-29T23:46:55.02,0.7567,126.2797,25.3,6.0,26
617232911,2020-01-30T11:21:37.07,35.1710,27.7742,15.9,5.6,10
617250522,2020-01-30T22:38:55.05,-3.3799,146.2027,10.0,5.7,10
617279611,2020-02-04T09:47:22.92,-37.5848,176.5878,293.9,,11
617285521,2020-02-04T22:17:45.61,51.9556,178.4092,121.5,5.5,18
617307582,2020-02-05T18:12:37.34,-6.0699,113.0907,603.3,6.5,52
617335348,2020-02-06T09:24:16.22,39.2022,21.4886,14.4,,11
617410906,2020-02-06T13:40:08.23,5.4354,126.4981,41.3,5.8,21
