sta,stla,stlo
ASAJ,44.1165,142.5968
BNX,45.7394,127.4045
CBIJ,27.0957,142.1845
CN2,43.8014,125.4480
ERM,42.0150,143.1571
HHU,39.9273,127.5288
HJU,38.0429,125.7253
I45RU,44.1999,131.9773
INCN,37.4830,126.6330
INU,35.3488,137.0170
JAD,34.9403,134.1680
JAG,36.4250,139.4533
JAM,28.4113,129.6052
JCJ,27.0955,142.1846
JEG,35.1353,136.3905
JEM,42.0158,143.1573
JEW,42.8402,141.4498
JFU,32.6555,128.7495
JGF,35.6008,137.3572
JGN,36.2232,137.3153
JHJ,33.1192,139.7833
JHJ2,33.1117,139.8167
JHO,36.6108,140.5690
JHS,34.9987,133.1163
JHU2,35.8396,139.2788
JIE,34.3917,136.7067
JKA,44.1160,142.6000
JMJ,24.8147,125.2935
JMM,37.8660,140.7930
JMN,33.7282,133.8790
JMP,44.0070,143.3597
JMZ,25.8198,131.2237
JNU,33.1217,130.8783
JNY,35.3583,137.8617
JOD2,35.2632,139.0882
JOM,39.4730,141.2923
JOT,41.3820,141.0482
JOW,26.8322,128.2745
JRY,36.0167,138.9017
JSD,38.0370,138.2603
JSG,34.6743,138.1860
JSH,42.6430,140.0448
JSU,31.5058,130.4550
JTM,40.7868,141.0682
JTU,34.5243,129.3987
JWK2,45.3162,141.8975
JWT,35.2825,135.4015
JYA,38.5930,139.7138
JYT,36.2277,140.1940
KS19,37.5019,127.8669
KSAR,37.4421,127.8844
KSRS,37.4540,127.9230
KUR,45.2333,147.8667
MAJO,36.5427,138.2070
MAT,36.5427,138.2070
MDJ,44.6164,129.5920
MJA0,36.5427,138.2472
MJAR,36.5417,138.2090
MJB9,36.5458,138.2039
MSHR,42.5800,131.1570
PSTR,42.6510,130.8040
PYAG,39.0508,125.7580
SHO,43.8700,146.8300
SNY,41.8278,123.5780
SUJ,40.1029,124.4937
TEY,45.0360,136.6030
TJN,36.3772,127.3638
USA0B,44.1999,131.9887
USRK,44.1998,131.9888
VLA,43.1196,131.8848
YOJ,24.4617,123.0108
YUK,44.0347,145.8614
